Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml)
Carrot (1/4 minced in sauce),Vegetable,10,0.2,2.4,0.1,0.7,1.2,17,0,Dinner,0
Celery (1/4 stalk minced),Vegetable,2,0.1,0.4,0.0,0.2,0.2,12,0,Dinner,0
Onion (1/8 minced in sauce),Vegetable,5,0.1,1.2,0.0,0.2,0.6,1,0,Dinner,0
Crushed Tomatoes (1/2 cup sauce),Vegetable,20,1.0,4.0,0.0,1.5,3.0,200,0,Dinner,0
Parmigiano-Reggiano (1 tbsp),Dairy,22,2.0,0.2,1.5,0.0,0.0,95,4,Dinner,0
Cannoli (1 medium),Dessert,240,5.0,25.0,13.0,1.0,18.0,100,30,Snack,0
Ricotta (filling 1 oz),Dairy,49,3.2,0.8,3.8,0.0,0.1,23,14,Snack,0
Pistachio (garnish),Nut,10,0.4,0.5,0.8,0.2,0.1,0,0,Snack,0
Biscotti (1 cookie),Dessert,110,2.0,18.0,4.0,1.0,9.0,50,15,Snack,0
Espresso (for dipping),Beverage,2,0.2,0.0,0.0,0.0,0.0,1,0,Snack,30
Focaccia (1 square),Grain,250,8.0,40.0,7.0,2.0,2.0,500,0,Lunch,0
Rosemary (1 tsp topping),Condiment,1,0.0,0.2,0.0,0.1,0.0,0,0,Lunch,0
Coarse Salt (garnish),Condiment,0,0.0,0.0,0.0,0.0,0.0,200,0,Lunch,0
Olive Oil (1 tbsp drizzle),Condiment,120,0.0,0.0,14.0,0.0,0.0,0,0,Lunch,0
Bruschetta (2 pcs),Snack/Appetizer,180,4.0,25.0,7.0,3.0,4.0,350,0,Snack,0
Balsamic Glaze (1 tsp),Condiment,13,0.0,3.0,0.0,0.0,2.7,3,0,Snack,0
Ribollita (1.5 cups soup),Meal/Soup,350,15.0,55.0,8.0,14.0,10.0,900,5,Dinner,500
Cannellini Beans (1/2 cup in soup),Legume,105,7.0,20.0,0.5,6.0,1.0,230,0,Dinner,0
Kale (1 cup in soup),Vegetable,33,2.9,6.0,0.6,2.0,1.0,29,0,Dinner,0
Stale Bread (1/2 cup in soup),Grain,80,3.0,15.0,1.0,1.0,1.5,160,0,Dinner,0
Polenta (1 cup creamy),Meal/Grain,150,3.0,32.0,1.0,3.0,1.0,350,5,Dinner,0
Gorgonzola Cheese (1 oz),Dairy,100,6.0,0.7,8.0,0.0,0.1,325,21,Dinner,0
Negroni (1 drink),Beverage,190,0.0,15.0,0.0,0.0,15.0,5,0,Snack,90
Gin (1 oz),Beverage,70,0.0,0.0,0.0,0.0,0.0,0,0,Snack,0
Campari (1 oz),Beverage,80,0.0,10.0,0.0,0.0,10.0,5,0,Snack,0
Sweet Vermouth (1 oz),Beverage,40,0.0,5.0,0.0,0.0,5.0,0,0,Snack,0
Orange Peel (garnish),Condiment,1,0.0,0.2,0.0,0.1,0.0,0,0,Snack,0
Osso Buco (1 serving),Meal/Meat,550,45.0,15.0,30.0,4.0,6.0,900,150,Dinner,0
Gremolata (1 tbsp),Condiment,15,0.5,1.0,1.0,0.5,0.5,5,0,Dinner,0
Risotto alla Milanese (1 cup),Meal/Rice,350,10.0,50.0,12.0,3.0,3.0,700,30,Dinner,0
Saffron (pinch in risotto),Condiment,1,0.0,0.1,0.0,0.0,0.0,0,0,Dinner,0
Panettone (1 slice),Dessert,320,6.0,50.0,12.0,3.0,25.0,200,70,Snack,0
Candied Fruit (1 tbsp),Fruit,30,0.0,8.0,0.0,0.5,8.0,5,0,Snack,0
Amaretti Cookie (2 cookies),Dessert,90,2.0,12.0,4.0,1.0,10.0,10,0,Snack,0
Limoncello (1.5 oz shot),Beverage,150,0.0,18.0,0.0,0.0,18.0,0,0,Snack,0
Panna Cotta (1 serving),Dessert,300,4.0,25.0,20.0,0.0,22.0,50,70,Snack,0
Berry Coulis (1 tbsp),Condiment,20,0.0,5.0,0.0,0.5,4.5,0,0,Snack,0
Saltimbocca (1 serving),Meal/Meat,380,38.0,5.0,22.0,0.5,1.0,850,120,Dinner,0
Prosciutto (1 slice wrapper),Protein/Meat,35,4.0,0.0,2.5,0.0,0.0,280,10,Dinner,0
Sage (2 leaves),Condiment,1,0.0,0.1,0.0,0.1,0.0,0,0,Dinner,0
White Wine Sauce (1/4 cup),Condiment,80,1.0,4.0,6.0,0.5,2.0,300,5,Dinner,0
Polenta (grilled 1 slice),Meal/Grain,120,2.5,25.0,1.0,2.0,0.5,300,0,Dinner,0
Caponata (1/2 cup),Meal/Vegetable,180,2.0,15.0,14.0,5.0,9.0,400,0,Dinner,0
Eggplant (1/2 cup in caponata),Vegetable,40,0.5,6.0,2.0,2.0,3.0,150,0,Dinner,0
Pine Nuts (1/2 tbsp),Nut,48,1.0,1.0,5.0,0.2,0.2,0,0,Dinner,0
Raisins (1 tbsp),Fruit,27,0.3,7.0,0.0,0.3,6.0,1,0,Dinner,0
Gelato (Pistachio 1/2 cup),Dessert,220,5.0,24.0,12.0,2.0,20.0,60,40,Snack,0
Waffle Cone (1 small),Grain,70,1.0,13.0,1.5,0.5,7.0,30,5,Snack,0
Cacio e Pepe (1.5 cups),Meal/Pasta,500,18.0,65.0,19.0,4.0,3.0,700,50,Dinner,0
Pecorino Romano (1/4 cup),Dairy,110,7.5,1.0,8.5,0.0,0.0,450,25,Dinner,0
Black Pepper (1/2 tsp),Condiment,3,0.1,0.7,0.0,0.3,0.0,0,0,Dinner,0
Fiorentina Steak (3oz portion),Protein/Meat,230,24.0,0.0,15.0,0.0,0.0,60,75,Dinner,0
Olive Oil (1 tbsp drizzle),Condiment,120,0.0,0.0,14.0,0.0,0.0,0,0,Dinner,0
Rosemary (garnish),Condiment,1,0.0,0.2,0.0,0.1,0.0,0,0,Dinner,0
White Beans (Tuscan style 1/2 cup),Legume,150,8.0,20.0,4.0,7.0,2.0,350,0,Dinner,0
Garlic (1 clove in beans),Vegetable,4,0.2,0.9,0.0,0.1,0.0,1,0,Dinner,0
Sage (in beans),Condiment,1,0.0,0.1,0.0,0.1,0.0,0,0,Dinner,0
Arancini (1 large ball),Snack/Processed,250,9.0,30.0,10.0,3.0,3.0,500,30,Snack,0
Ragù (filling 1 tbsp),Condiment,25,1.5,1.0,1.5,0.5,0.5,60,5,Snack,0
Mozzarella (filling 0.5 oz),Dairy,40,3.0,0.5,3.0,0.0,0.2,75,10,Snack,0
Breadcrumbs (coating),Grain,25,0.5,4.0,0.5,0.5,0.5,50,0,Snack,0
Campari & Soda (1 drink),Beverage,85,0.0,10.0,0.0,0.0,10.0,25,0,Snack,150
Olive (garnish),Fruit,5,0.0,0.1,0.5,0.1,0.0,30,0,Snack,0
Vitello Tonnato (1 serving),Meal/Meat,380,35.0,3.0,25.0,0.5,1.0,600,110,Lunch,0
Tuna Sauce (2 tbsp),Condiment,100,4.0,1.0,9.0,0.0,0.5,200,15,Lunch,0
Capers (garnish),Condiment,2,0.2,0.4,0.1,0.3,0.1,200,0,Lunch,0
Lemon Slice (garnish),Condiment,1,0.0,0.3,0.0,0.1,0.1,0,0,Lunch,0
Gnocchi alla Sorrentina (1.5 cups),Meal/Pasta,450,15.0,60.0,18.0,6.0,9.0,800,40,Dinner,0
Tomato Sauce (1/2 cup),Condiment,40,1.5,7.0,1.0,2.0,4.0,350,0,Dinner,0
Mozzarella (1 oz melted),Dairy,80,6.0,1.0,6.0,0.0,0.5,150,20,Dinner,0
Basil (fresh garnish),Condiment,1,0.1,0.0,0.0,0.1,0.0,0,0,Dinner,0
Parmigiano-Reggiano (1 tbsp),Dairy,22,2.0,0.2,1.5,0.0,0.0,95,4,Dinner,0
Pesto (1/4 cup),Condiment,290,5.0,4.0,29.0,2.0,1.0,600,5,Dinner,0
Pine Nuts (1 tbsp in pesto),Nut,95,2.0,2.0,10.0,0.5,0.5,0,0,Dinner,0
Garlic (1/2 clove in pesto),Vegetable,2,0.1,0.5,0.0,0.0,0.0,0,0,Dinner,0
Trofie Pasta (1 cup cooked),Grain,210,7.0,43.0,1.0,2.0,1.0,5,0,Dinner,0
Green Beans (1/2 cup w/ pasta),Vegetable,15,0.9,3.5,0.1,1.3,1.6,3,0,Dinner,0
Potato (1/2 w/ pasta),Vegetable,65,1.0,15.0,0.1,1.0,0.5,3,0,Dinner,0
Espresso Martini (1 drink),Beverage,280,0.5,25.0,0.0,0.0,25.0,5,0,Snack,120
Vodka (1.5 oz),Beverage,97,0.0,0.0,0.0,0.0,0.0,0,0,Snack,0
Coffee Liqueur (1 oz),Beverage,100,0.0,15.0,0.0,0.0,15.0,2,0,Snack,0
Espresso (1 oz in drink),Beverage,3,0.3,0.0,0.1,0.0,0.0,1,0,Snack,0
Simple Syrup (1/2 oz),Condiment,30,0.0,8.0,0.0,0.0,8.0,0,0,Snack,0
Coffee Beans (3 garnish),Snack,2,0.1,0.3,0.0,0.1,0.0,0,0,Snack,0
Baba Ganoush (1/4 cup),Meal/Vegetable,100,2.0,8.0,7.0,4.0,2.0,300,0,Snack,0
Pita Bread (1 white),Grain,165,5.5,33.0,1.2,1.5,1.5,310,0,Snack,0
Falafel (3 pieces),Meal/Vegetarian,180,6.0,18.0,9.0,4.0,1.0,320,0,Lunch,0
Tahini Sauce (1 tbsp),Condiment,30,1.0,1.5,2.5,0.5,0.0,45,0,Lunch,0
Pickled Turnips (2 tbsp),Vegetable,10,0.2,2.0,0.0,0.5,1.0,200,0,Lunch,0
Shawarma (Chicken 1 wrap),Meal/Processed,550,30.0,50.0,25.0,6.0,5.0,1100,80,Lunch,250
Garlic Sauce (1 tbsp),Condiment,90,0.1,1.0,10.0,0.0,0.5,80,5,Lunch,0
Hummus (1/4 cup),Legume,130,5.0,10.0,8.0,4.0,1.0,250,0,Lunch,0
Tabouli (1/2 cup),Meal/Vegetarian,120,3.0,15.0,6.0,4.0,2.0,300,0,Lunch,0
Bulgur (1/4 cup in tabouli),Grain,76,2.7,16.8,0.2,4.1,0.1,4,0,Lunch,0
Parsley (1/4 cup in tabouli),Vegetable,5,0.3,1.0,0.1,0.5,0.1,5,0,Lunch,0
Mint (1 tbsp in tabouli),Condiment,1,0.1,0.1,0.0,0.1,0.0,0,0,Lunch,0
Lemon Juice (1 tbsp dressing),Condiment,4,0.1,1.3,0.0,0.1,0.2,0,0,Lunch,0
Olive Oil (1 tbsp dressing),Condiment,120,0.0,0.0,14.0,0.0,0.0,0,0,Lunch,0
Kibbeh (1 piece fried),Meal/Meat,230,9.0,20.0,13.0,3.0,1.0,450,30,Snack,0
Pine Nuts (1/2 tbsp filling),Nut,48,1.0,1.0,5.0,0.2,0.2,0,0,Snack,0
Ground Lamb (1 oz filling),Protein/Meat,80,5.5,0.0,6.0,0.0,0.0,20,20,Snack,0
Bulgur (1 tbsp shell),Grain,15,0.5,3.4,0.0,0.8,0.0,1,0,Snack,0
Lentil Soup (1 cup Middle Eastern),Meal/Legume,200,10.0,30.0,5.0,10.0,4.0,700,0,Lunch,250
Cumin (1 tsp),Condiment,8,0.3,1.5,0.5,0.4,0.1,3,0,Lunch,0
Coriander (1 tsp),Condiment,5,0.1,1.0,0.2,0.5,0.0,1,0,Lunch,0
Lemon Juice (1 tsp in soup),Condiment,1,0.0,0.4,0.0,0.0,0.1,0,0,Lunch,0
Pita Crisps (1 oz),Snack/Processed,130,3.0,18.0,5.0,2.0,1.0,240,0,Lunch,0
Manakeesh (Za'atar 1 small),Meal/Vegetarian,300,7.0,45.0,10.0,4.0,2.0,500,0,Breakfast,0
Za'atar (1 tbsp),Condiment,40,1.0,3.0,3.0,1.5,0.0,150,0,Breakfast,0
Olive Oil (1 tbsp on bread),Condiment,120,0.0,0.0,14.0,0.0,0.0,0,0,Breakfast,0
Labneh (2 tbsp),Dairy,60,4.0,2.0,4.0,0.0,2.0,80,15,Breakfast,0
Cucumber (1/4 cup side),Vegetable,8,0.3,1.8,0.0,0.2,0.8,1,0,Breakfast,0
Tomato (1/4 cup side),Vegetable,8,0.3,1.8,0.1,0.5,1.2,2,0,Breakfast,0
Olives (5 side),Fruit,35,0.2,1.0,3.5,0.5,0.0,210,0,Breakfast,0
Mint Tea (1 cup),Beverage,2,0.1,0.5,0.0,0.0,0.0,5,0,Breakfast,240
Stuffed Grape Leaves (3 pcs),Meal/Vegetarian,150,3.0,20.0,7.0,3.0,3.0,400,0,Snack,0
Rice (1/4 cup filling),Grain,51,1.1,11.1,0.1,0.1,0.0,0,0,Snack,0
Turkish Coffee (1 small cup),Beverage,5,0.2,0.5,0.0,0.0,0.0,1,0,Snack,60
Cardamom (in coffee),Condiment,1,0.0,0.2,0.0,0.1,0.0,0,0,Snack,0
Shish Tawook (2 skewers),Meal/Meat,300,35.0,5.0,16.0,1.0,2.0,600,100,Dinner,0
Garlic Sauce (Toum 1 tbsp),Condiment,90,0.1,1.0,10.0,0.0,0.5,80,5,Dinner,0
French Fries (side),Vegetable/Processed,340,4.0,44.0,17.0,4.0,0.3,230,0,Dinner,0
Pickled Cucumber (1/4 cup),Vegetable,10,0.5,2.0,0.0,1.0,1.0,300,0,Dinner,0
Fattoush Salad (1.5 cups),Meal/Vegetarian,250,5.0,25.0,15.0,6.0,5.0,500,0,Lunch,0
Fried Pita (1/2 pita in salad),Grain,80,2.0,12.0,3.0,1.0,0.5,150,0,Lunch,0
Sumac (1/2 tsp dressing),Condiment,5,0.1,1.0,0.2,0.5,0.0,1,0,Lunch,0
Pomegranate Molasses (1 tsp),Condiment,15,0.0,4.0,0.0,0.0,4.0,0,0,Lunch,0
Avocado (half),Fruit,160,2.0,8.5,14.7,6.7,0.7,7,0,Snack,0
Peanut Butter (1 tbsp),Nut,94,4.0,3.0,8.0,1.0,1.5,73,0,Snack,0
Bacon (1 strip cooked),Protein/Meat,43,3.0,0.1,3.3,0.0,0.0,137,9,Breakfast,0
Croissant (plain),Grain,231,5.0,26.0,12.0,1.5,6.0,316,45,Breakfast,0
Fried Egg (1 large),Protein,90,6.3,0.4,7.0,0.0,0.4,140,185,Breakfast,0
Granola Bar (1 bar),Snack/Processed,195,4.0,29.0,8.0,2.0,12.0,80,0,Snack,0
Whole Milk (1 cup),Dairy,149,8.0,12.0,8.0,0.0,12.0,105,24,Breakfast,240
Skim Milk (1 cup),Dairy,83,8.0,12.0,0.2,0.0,12.0,107,5,Breakfast,240
Butter (1 tsp),Condiment,34,0.0,0.0,3.8,0.0,0.0,27,10,Breakfast,0
White Sugar (1 tsp),Condiment,16,0.0,4.2,0.0,0.0,4.2,0,0,Breakfast,0
Brown Sugar (1 tsp),Condiment,17,0.0,4.5,0.0,0.0,4.5,1,0,Breakfast,0
Jam (1 tbsp strawberry),Condiment,56,0.1,13.8,0.0,0.2,12.0,6,0,Breakfast,0
Cream (1 tbsp heavy),Dairy,52,0.4,0.4,5.5,0.0,0.4,6,20,Breakfast,0
Nespresso Capsule (1 shot),Beverage,5,0.3,0.7,0.1,0.0,0.0,1,0,Breakfast,30
Instant Coffee (1 tsp),Beverage,4,0.3,0.7,0.0,0.0,0.1,1,0,Breakfast,200
Rice Cake (1 plain),Grain,35,0.7,7.3,0.3,0.4,0.0,29,0,Snack,0
Corn Tortilla Chips (1 oz),Snack,140,2.0,19.0,7.0,2.0,0.5,115,0,Snack,0
Graham Crackers (2 sheets),Grain,120,2.0,22.0,3.0,1.0,8.0,140,0,Snack,0
Animal Crackers (10 pcs),Snack,130,2.0,21.0,4.5,0.5,7.0,105,0,Snack,0
Fig Newtons (2 cookies),Snack,110,1.0,22.0,2.0,1.0,12.0,115,0,Snack,0
Oreo Cookies (3 cookies),Dessert,160,2.0,25.0,7.0,1.0,13.0,135,0,Snack,0
Digestive Biscuit (2 biscuits),Grain,141,2.1,21.5,5.6,1.4,7.9,170,0,Snack,0
Custard Cream Biscuit (2 biscuits),Dessert,160,1.5,23.0,7.0,0.5,10.0,100,0,Snack,0
Rich Tea Biscuit (3 biscuits),Grain,135,2.5,22.5,4.5,0.5,5.0,125,0,Snack,0
Hobnob (2 biscuits),Grain,180,3.0,25.0,8.0,2.0,9.0,115,0,Snack,0
Cheddar Crackers (1 oz Goldfish),Snack,140,3.0,19.0,6.0,1.0,0.0,250,5,Snack,0
Pretzels (10 small twists),Grain,108,2.6,22.8,0.9,1.0,1.0,431,0,Snack,0
Popcorn (1 cup microwave),Grain,55,1.0,6.3,3.2,1.2,0.0,97,0,Snack,0
Rice Krispie Treat (1 bar),Dessert,115,1.0,22.0,3.0,0.0,9.0,75,0,Snack,0
Fruit Roll Up (1 roll),Snack/Processed,50,0.0,12.0,0.5,0.0,7.0,55,0,Snack,0
Dried Apricots (5 halves),Fruit,78,1.1,20.6,0.1,2.2,17.5,3,0,Snack,0
Dried Cranberries (1/4 cup),Fruit,130,0.0,34.0,0.5,2.0,26.0,0,0,Snack,0
Prunes (3 prunes),Fruit,60,0.6,16.0,0.1,1.8,10.0,0,0,Snack,0
Medjool Date (1 large),Fruit,66,0.4,18.0,0.0,1.6,16.0,0,0,Snack,0
Dried Mango (1 oz),Fruit,90,0.5,22.0,0.2,1.0,18.0,5,0,Snack,0
Fruit and Nut Mix (1 oz),Snack,130,3.0,15.0,7.0,2.0,10.0,30,0,Snack,0
Pumpkin Seeds (1 oz roasted),Nut,163,8.5,4.2,14.0,1.8,0.4,5,0,Snack,0
Sunflower Seeds (1 oz),Nut,165,5.8,6.8,14.4,3.0,1.0,1,0,Snack,0
Flaxseeds (1 tbsp),Nut,55,1.9,3.0,4.3,2.8,0.2,4,0,Breakfast,0
Chia Seeds (1 tbsp),Nut,60,2.0,5.0,3.8,4.1,0.0,2,0,Breakfast,0
Hemp Seeds (1 tbsp),Protein/Vegetarian,55,3.2,0.9,4.3,0.4,0.0,0,0,Breakfast,0
Sesame Seeds (1 tbsp),Nut,52,1.6,2.1,4.5,1.1,0.0,1,0,Breakfast,0
Marmite (1 tsp),Condiment,22,4.6,2.9,0.1,0.4,0.5,305,0,Breakfast,0
Vegemite (1 tsp),Condiment,18,3.8,2.4,0.0,0.4,0.4,266,0,Breakfast,0
Peanut Butter Sandwich,Meal/Processed,340,12.0,38.0,17.0,4.0,10.0,450,0,Lunch,0
Cheese and Tomato Sandwich,Meal/Processed,320,14.0,32.0,14.0,3.0,4.0,580,30,Lunch,0
Ham and Cheese Sandwich,Meal/Processed,380,22.0,30.0,18.0,2.0,3.0,820,55,Lunch,0
BLT Sandwich,Meal/Processed,420,18.0,35.0,22.0,3.0,5.0,900,40,Lunch,0
Egg Salad Sandwich,Meal/Processed,360,16.0,28.0,20.0,2.0,4.0,650,320,Lunch,0
Grilled Cheese Sandwich (basic),Meal/Processed,390,15.0,32.0,22.0,3.0,4.0,800,60,Lunch,0
Pita with Falafel (1 wrap),Meal/Vegetarian,420,14.0,55.0,18.0,8.0,4.0,750,0,Lunch,0
Jacket Potato with Beans,Meal/Vegetable,380,14.0,75.0,2.0,12.0,10.0,600,0,Lunch,250
Beans on Toast (1 slice),Meal/Legume,220,10.0,40.0,2.0,8.0,8.0,750,0,Breakfast,0
Spaghetti Hoops on Toast,Meal/Processed,210,7.0,38.0,2.0,4.0,7.0,680,0,Lunch,0
Cup Noodles (1 pot),Meal/Processed,300,7.0,40.0,13.0,2.0,3.0,1500,0,Lunch,500
Instant Mashed Potato (1 cup),Meal/Processed,190,4.0,28.0,7.0,2.0,2.0,480,15,Dinner,0
Microwave Mac and Cheese (1 pot),Meal/Processed,410,12.0,52.0,17.0,2.0,8.0,900,35,Lunch,0
Frozen Pizza (1 slice),Meal/Processed,280,11.0,32.0,12.0,2.0,4.0,650,25,Dinner,0
Fish Fingers (4 fingers),Protein/Processed,220,14.0,20.0,8.0,1.0,1.0,450,35,Dinner,0
Chicken Nuggets (5 pieces),Meal/Processed,230,13.0,14.0,13.0,1.0,0.5,440,35,Dinner,0
Hot Dog (1 sausage in bun),Meal/Processed,290,11.0,22.0,17.0,1.0,5.0,860,35,Lunch,0
Corn Dog (1 stick),Meal/Processed,250,7.0,27.0,12.0,1.0,7.0,540,25,Snack,0
Sloppy Joe (1 sandwich),Meal/Processed,410,20.0,38.0,18.0,4.0,14.0,800,55,Lunch,0
Fish and Chips (portion),Meal/Processed,820,30.0,90.0,38.0,6.0,2.0,950,80,Dinner,0
Mushy Peas (1/2 cup side),Vegetable,95,6.0,17.0,1.0,5.0,3.0,350,0,Dinner,0
Tartar Sauce (1 tbsp),Condiment,70,0.2,2.0,7.0,0.1,1.5,180,5,Dinner,0
Vinegar (1 tsp on chips),Condiment,1,0.0,0.1,0.0,0.0,0.0,1,0,Dinner,0
Scotch Egg (1 medium),Meal/Processed,300,17.0,10.0,22.0,1.0,1.0,600,280,Snack,0
Pork Pie (1 individual),Meal/Processed,480,14.0,30.0,34.0,2.0,2.0,850,60,Lunch,0
Sausage Roll (1 small),Meal/Processed,290,8.0,22.0,19.0,1.0,1.0,500,25,Snack,0
Cheese Puff (1 oz Cheetos),Snack/Processed,160,2.0,13.0,11.0,0.0,1.5,250,0,Snack,0
Doritos (1 oz nacho cheese),Snack/Processed,140,2.0,18.0,7.0,1.0,1.0,210,0,Snack,0
Lay's Chips (1 oz classic),Snack/Processed,160,2.0,15.0,10.0,1.0,0.5,170,0,Snack,0
Pringles (15 chips),Snack/Processed,150,2.0,16.0,9.0,1.0,1.0,150,0,Snack,0
Rice Crackers (7 pcs),Grain/Processed,60,1.0,13.0,0.5,0.5,1.0,115,0,Snack,0
Oat Cake (2 small),Grain,140,3.5,20.0,5.5,2.5,1.0,220,0,Snack,0
Crumpet (1 toasted),Grain,100,3.5,20.0,0.8,1.0,1.5,450,0,Breakfast,0
English Muffin (plain 1),Grain,130,4.5,25.0,1.0,2.0,1.0,200,0,Breakfast,0
Bagel (sesame 1 medium),Grain,280,11.0,55.0,1.5,2.5,5.0,510,0,Breakfast,0
Lox and Cream Cheese Bagel,Meal/Processed,420,22.0,55.0,14.0,2.5,6.0,900,40,Breakfast,0
Cereal (Weetabix 2 biscuits),Grain,130,4.0,26.0,0.8,3.8,1.5,85,0,Breakfast,0
Cereal (Cheerios 1 cup),Grain,100,3.0,20.0,2.0,3.0,1.0,140,0,Breakfast,0
Cereal (Special K 1 cup),Grain,115,6.0,22.0,0.5,0.5,4.0,150,0,Breakfast,0
Cereal (Bran Flakes 3/4 cup),Grain,100,3.0,24.0,0.5,5.0,6.0,220,0,Breakfast,0
Muesli (1/2 cup no sugar),Grain,200,6.0,36.0,4.0,5.0,10.0,30,0,Breakfast,0
Porridge (1 bowl with water),Grain,130,5.0,22.0,2.5,3.0,0.5,30,0,Breakfast,250
French Toast (1 slice),Grain,150,6.0,16.0,7.0,0.5,5.0,220,90,Breakfast,0
Pancake (American 1 medium),Grain,90,2.5,15.0,3.0,0.5,3.0,200,20,Breakfast,0
Waffle (Belgian 1),Grain,220,6.0,30.0,9.0,1.5,4.0,380,35,Breakfast,0
Muffin (English style 1),Grain,134,4.5,26.0,1.0,2.0,2.0,220,0,Breakfast,0
Scone (1 plain),Grain,190,4.0,28.0,7.0,1.0,5.0,300,20,Breakfast,0
Toast with Marmite,Meal/Processed,110,4.0,20.0,1.5,1.5,2.0,420,0,Breakfast,0
Overnight Oats (1 jar),Meal/Grain,350,14.0,50.0,9.0,7.0,15.0,90,10,Breakfast,350
Acai Bowl (small),Meal/Fruit,280,5.0,48.0,9.0,8.0,28.0,40,0,Breakfast,200
Smoothie Bowl (berry),Meal/Fruit,320,8.0,55.0,8.0,7.0,30.0,60,5,Breakfast,0
Nut Butter Toast (1 slice),Meal/Grain,210,6.0,22.0,12.0,3.0,3.0,200,0,Breakfast,0
Bircher Muesli (1 cup),Meal/Grain,280,9.0,42.0,8.0,5.0,18.0,65,10,Breakfast,200
Boiled Egg on Toast (1 egg),Meal/Protein,210,10.0,22.0,9.0,1.5,2.0,380,185,Breakfast,0
Full English Breakfast,Meal/Meat,850,45.0,55.0,50.0,5.0,8.0,1800,400,Breakfast,250
Shakshuka (2 eggs in sauce),Meal/Protein,280,16.0,18.0,16.0,4.0,10.0,700,370,Breakfast,250
Huevos Rancheros (1 serving),Meal/Processed,420,18.0,45.0,18.0,8.0,6.0,850,375,Breakfast,250
Breakfast Burrito (1 medium),Meal/Processed,480,22.0,48.0,22.0,4.0,4.0,950,280,Breakfast,0
Hash Brown Patty (1 Mcdonalds),Meal/Processed,150,1.0,15.0,9.0,1.5,0.0,310,0,Breakfast,0
McMuffin (Egg and Cheese),Meal/Processed,310,17.0,30.0,13.0,2.0,3.0,820,200,Breakfast,0
Croissant Sandwich (ham cheese),Meal/Processed,410,18.0,32.0,23.0,1.5,4.0,780,55,Breakfast,0
Pain au Chocolat (1),Dessert,270,5.0,30.0,15.0,1.5,12.0,280,30,Breakfast,0
Danish Pastry (1 cheese),Dessert,340,7.0,38.0,18.0,2.0,16.0,300,55,Breakfast,250
Cinnamon Roll (1 large),Dessert,420,7.0,56.0,18.0,2.0,28.0,340,40,Breakfast,0
Banana Bread (1 slice),Grain,190,3.0,30.0,7.0,1.5,16.0,150,35,Breakfast,0
Zucchini Bread (1 slice),Grain,200,3.0,29.0,8.0,1.5,14.0,160,30,Breakfast,0
Lemon Drizzle Cake (1 slice),Dessert,320,4.0,48.0,13.0,1.0,30.0,200,70,Snack,0
Victoria Sponge (1 slice),Dessert,370,5.0,50.0,17.0,1.0,35.0,280,90,Snack,0
Carrot Cake (1 slice no frosting),Dessert,280,4.0,40.0,12.0,2.0,26.0,220,55,Snack,0
Brownie (1 square),Dessert,240,3.0,32.0,12.0,2.0,22.0,120,40,Snack,0
Blondie (1 square),Dessert,220,3.0,30.0,10.0,1.0,20.0,100,35,Snack,0
Shortbread (2 fingers),Dessert,180,2.0,21.0,10.0,0.5,7.0,90,30,Snack,0
Flapjack (1 bar oat),Snack/Processed,320,5.0,42.0,15.0,3.0,22.0,120,25,Snack,0
Rice Pudding (1 cup),Dessert,200,5.0,35.0,5.0,0.5,15.0,65,18,Snack,0
Bread Pudding (1 serving),Dessert,330,9.0,48.0,12.0,1.5,20.0,310,120,Snack,0
Jelly (1/2 cup),Dessert,70,2.0,17.0,0.0,0.0,16.0,60,0,Snack,0
Custard (ready made 1/2 cup),Dessert,130,4.0,20.0,4.0,0.0,12.0,90,50,Snack,0
Trifle (1 small pot),Dessert,280,5.0,38.0,12.0,1.0,25.0,120,60,Snack,0
Eton Mess (1 serving),Dessert,320,4.0,42.0,15.0,1.0,38.0,80,35,Snack,0
Fruit Crumble (1 portion apple),Dessert,290,4.0,48.0,10.0,4.0,28.0,120,0,Snack,0
Sticky Toffee Pudding (1 serving),Dessert,420,5.0,60.0,18.0,2.0,42.0,350,80,Snack,0
Chips (oven baked 1 portion UK),Vegetable/Processed,200,4.0,36.0,5.0,3.5,1.5,300,0,Dinner,0
Gravy (1/4 cup beef),Condiment,30,1.5,4.5,0.5,0.0,0.5,400,2,Dinner,0
Yorkshire Pudding (1 large),Grain,130,5.0,15.0,6.0,0.5,2.0,200,55,Dinner,0
Roast Beef (3 slices),Protein/Meat,180,28.0,0.0,7.0,0.0,0.0,65,75,Dinner,0
Roast Chicken (1 thigh and leg),Protein/Meat,280,32.0,0.0,17.0,0.0,0.0,120,130,Dinner,0
Stuffing (2 tbsp),Grain,90,2.0,12.0,4.0,1.0,1.5,310,0,Dinner,0
Roasted Parsnips (4 pieces),Vegetable,130,2.0,20.0,5.0,4.5,5.5,30,0,Dinner,0
Cauliflower Cheese (1/2 cup),Meal/Vegetable,180,8.0,10.0,12.0,2.5,5.0,420,30,Dinner,0
Peas and Carrots (1/2 cup),Vegetable,55,2.5,10.5,0.3,3.5,4.5,50,0,Dinner,0
Leek and Potato Soup (1 cup),Meal/Vegetable,160,4.0,22.0,6.0,3.0,4.0,580,10,Lunch,250
